goal_id;world_cup_year;match_id;team_id;team_name;team_code;scored_by_player;shirt_number;minute;additional_minute;match_period;own_goal;penalty
G-0001;1930;M-1930-01;T-28;France;FRA;P-09831;0;19;0;1H;0;0
G-0002;1930;M-1930-01;T-28;France;FRA;P-05670;0;40;0;1H;0;0
G-0003;1930;M-1930-01;T-28;France;FRA;P-07295;0;43;0;1H;0;0
G-0004;1930;M-1930-01;T-28;France;FRA;P-07295;0;87;0;2H;0;0
G-0005;1930;M-1930-01;T-44;Mexico;MEX;P-03952;0;70;0;2H;0;0
G-0006;1930;M-1930-02;T-79;United States;USA;P-09935;0;23;0;1H;0;0
G-0007;1930;M-1930-02;T-79;United States;USA;P-06672;0;45;0;1H;0;0
G-0008;1930;M-1930-02;T-79;United States;USA;P-09215;0;69;0;2H;0;0
G-0009;1930;M-1930-03;T-83;Yugoslavia;YUG;P-00319;0;21;0;1H;0;0
G-0010;1930;M-1930-03;T-83;Yugoslavia;YUG;P-06435;0;30;0;1H;0;0
G-0011;1930;M-1930-03;T-09;Brazil;BRA;P-03855;0;62;0;2H;0;0
G-0012;1930;M-1930-04;T-58;Romania;ROU;P-00978;0;1;0;1H;0;0
G-0013;1930;M-1930-04;T-58;Romania;ROU;P-04102;0;79;0;2H;0;0
G-0014;1930;M-1930-04;T-58;Romania;ROU;P-02034;0;89;0;2H;0;0
G-0015;1930;M-1930-04;T-54;Peru;PER;P-00521;0;75;0;2H;0;0
G-0016;1930;M-1930-05;T-03;Argentina;ARG;P-03789;0;81;0;2H;0;0
G-0017;1930;M-1930-06;T-13;Chile;CHL;P-04216;0;3;0;1H;0;0
G-0018;1930;M-1930-06;T-13;Chile;CHL;P-04216;0;65;0;2H;0;0
G-0019;1930;M-1930-06;T-13;Chile;CHL;P-04652;0;52;0;2H;1;0
G-0020;1930;M-1930-07;T-83;Yugoslavia;YUG;P-06435;0;60;0;2H;0;0
G-0021;1930;M-1930-07;T-83;Yugoslavia;YUG;P-06435;0;67;0;2H;0;0
G-0022;1930;M-1930-07;T-83;Yugoslavia;YUG;P-00296;0;65;0;2H;0;0
G-0023;1930;M-1930-07;T-83;Yugoslavia;YUG;P-03989;0;85;0;2H;0;0
G-0024;1930;M-1930-08;T-79;United States;USA;P-09215;0;10;0;1H;0;0
G-0025;1930;M-1930-08;T-79;United States;USA;P-09215;0;15;0;1H;0;0
G-0026;1930;M-1930-08;T-79;United States;USA;P-09215;0;50;0;2H;0;0
G-0027;1930;M-1930-09;T-80;Uruguay;URY;P-00826;0;65;0;2H;0;0
G-0028;1930;M-1930-10;T-13;Chile;CHL;P-04702;0;67;0;2H;0;0
G-0029;1930;M-1930-11;T-03;Argentina;ARG;P-04418;0;8;0;1H;0;0
G-0030;1930;M-1930-11;T-03;Argentina;ARG;P-04418;0;17;0;1H;0;0
G-0031;1930;M-1930-11;T-03;Argentina;ARG;P-04418;0;80;0;2H;0;0
G-0032;1930;M-1930-11;T-03;Argentina;ARG;P-00455;0;12;0;1H;0;0
G-0033;1930;M-1930-11;T-03;Argentina;ARG;P-00455;0;55;0;2H;0;0
G-0034;1930;M-1930-11;T-03;Argentina;ARG;P-00290;0;53;0;2H;0;0
G-0035;1930;M-1930-11;T-44;Mexico;MEX;P-04652;0;42;0;1H;0;1
G-0036;1930;M-1930-11;T-44;Mexico;MEX;P-04652;0;65;0;2H;0;0
G-0037;1930;M-1930-11;T-44;Mexico;MEX;P-04746;0;75;0;2H;0;0
G-0038;1930;M-1930-12;T-09;Brazil;BRA;P-04578;0;37;0;1H;0;0
G-0039;1930;M-1930-12;T-09;Brazil;BRA;P-04578;0;73;0;2H;0;0
G-0040;1930;M-1930-12;T-09;Brazil;BRA;P-03855;0;57;0;2H;0;0
