key_id;player_id;lastname;name;birth_date;goal_keeper;defender;midfielder;forward;count_tournaments;list_tournaments;player_wikipedia_link
1;P-05074;A'Court;Alan;30/09/1934;0;0;0;1;1;1958;https://en.wikipedia.org/wiki/Alan_A%27Court
2;P-00942;Abadzhiev;Stefan;03/07/1934;0;0;0;1;1;1966;https://en.wikipedia.org/wiki/Stefan_Abadzhiev
3;P-03051;Abalo;Jean-Paul;26/06/1975;0;1;0;0;1;2006;https://en.wikipedia.org/wiki/Jean-Paul_Abalo
4;P-03371;Abanda;Patrice;03/08/1978;0;1;0;0;1;1998;https://en.wikipedia.org/wiki/Patrice_Abanda
5;P-04977;Abate;Ignazio;12/11/1986;0;1;0;0;1;2014;https://en.wikipedia.org/wiki/Ignazio_Abate
6;P-06675;Abbadie;Julio;07/09/1930;0;0;0;1;1;1954;https://en.wikipedia.org/wiki/Julio_Abbadie
7;P-02825;Abbes;Claude;24/05/1927;1;0;0;0;2;1954, 1958;https://en.wikipedia.org/wiki/Claude_Abbes
8;P-06214;Abbiati;Christian;08/07/1977;1;0;0;0;1;2002;https://en.wikipedia.org/wiki/Christian_Abbiati
9;P-05883;Abbondanzieri;Roberto;19/08/1972;1;0;0;0;1;2006;https://en.wikipedia.org/wiki/Roberto_Abbondanzieri
10;P-06019;Abd Al-Jawad;Mohamed;28/11/1962;0;1;0;0;1;1994;https://en.wikipedia.org/wiki/Mohamed_Abd_Al-Jawad
11;P-06687;Abdel Rahman;Adel;11/12/1967;0;0;0;1;1;1990;https://en.wikipedia.org/wiki/Adel_Abdel_Rahman
12;P-08319;Abdel Shafy;Mohamed;01/07/1985;0;1;0;0;1;2018;https://en.wikipedia.org/wiki/Mohamed_Abdel_Shafy
13;P-00067;Abdel-Hamid;Gamal;24/11/1957;0;0;1;0;1;1990;https://en.wikipedia.org/wiki/Gamal_Abdel-Hamid
14;P-02311;Abdelghani;Magdi;27/07/1959;0;0;1;0;1;1990;https://en.wikipedia.org/wiki/Magdi_Abdelghani
15;P-09113;Abdellah;Nacer;03/03/1966;0;1;0;0;1;1994;https://en.wikipedia.org/wiki/Nacer_Abdellah
